student_id,profile_type,week,lms_logins,submission_delay,attendance,sentiment_score,activity_variance,burnout_label,dropout_label
1,gradual_burnout,1,17.17,0.1,82.38,0.289,1.57,Low,0
1,gradual_burnout,2,18.03,4.58,83.24,0.351,1.0,Low,0
1,gradual_burnout,3,19.04,3.06,81.47,0.327,4.9,Low,0
1,gradual_burnout,4,18.5,1.17,82.26,0.487,4.93,Low,0
1,gradual_burnout,5,14.38,6.21,84.98,0.189,3.44,Low,0
1,gradual_burnout,6,16.61,5.59,86.2,0.137,1.13,Low,0
1,gradual_burnout,7,14.92,6.93,83.94,0.437,4.84,Low,0
1,gradual_burnout,8,16.17,4.11,79.85,0.056,1.66,Low,0
1,gradual_burnout,9,19.16,7.59,80.94,0.182,3.6,Low,0
1,gradual_burnout,10,17.19,8.64,72.63,0.342,2.1,Low,0
1,gradual_burnout,11,12.83,7.47,79.95,-0.001,2.76,Low,0
1,gradual_burnout,12,13.96,9.45,74.72,0.217,1.81,Low,0
1,gradual_burnout,13,8.82,8.76,77.19,-0.246,1.87,Medium,0
1,gradual_burnout,14,15.03,9.67,70.46,-0.083,1.0,Low,0
1,gradual_burnout,15,17.28,5.81,74.91,-0.214,1.67,Low,0
1,gradual_burnout,16,12.0,11.31,69.7,0.113,1.59,Medium,0
2,chronic_low,1,7.96,8.88,64.46,-0.506,2.96,High,0
2,chronic_low,2,9.29,11.61,67.49,-0.555,2.47,High,0
2,chronic_low,3,9.81,8.27,69.42,-0.456,4.34,Medium,0
2,chronic_low,4,5.02,10.23,63.54,-0.514,3.71,High,0
2,chronic_low,5,8.09,13.22,60.67,-0.725,1.55,High,0
2,chronic_low,6,5.89,9.25,67.55,-0.692,1.37,High,0
2,chronic_low,7,5.36,14.38,74.84,-0.553,1.04,High,0
2,chronic_low,8,5.2,13.67,63.64,-0.29,2.3,Medium,0
2,chronic_low,9,6.8,8.56,72.02,-0.353,1.98,Medium,0
2,chronic_low,10,6.87,10.33,71.31,-0.027,1.78,Medium,0
2,chronic_low,11,4.83,9.25,72.35,-0.414,2.54,High,0
2,chronic_low,12,6.45,8.9,70.68,-0.698,3.46,High,0
2,chronic_low,13,7.2,14.45,69.64,-0.311,4.24,Medium,0
2,chronic_low,14,9.94,11.11,86.46,-0.161,2.5,Medium,0
2,chronic_low,15,3.75,9.08,62.03,-0.563,1.15,High,0
2,chronic_low,16,4.63,8.76,72.72,-0.658,1.21,High,0
3,gradual_burnout,1,20.79,4.74,89.03,0.11,2.0,Low,0
3,gradual_burnout,2,24.56,0.0,88.46,0.119,1.38,Low,0
3,gradual_burnout,3,21.54,0.0,97.23,0.345,3.92,Low,0
3,gradual_burnout,4,21.17,0.19,88.71,0.127,1.38,Low,0
3,gradual_burnout,5,21.91,0.91,91.06,-0.082,3.6,Low,0
3,gradual_burnout,6,26.66,4.74,88.33,0.24,4.78,Low,0
3,gradual_burnout,7,20.08,3.55,92.5,-0.029,4.28,Low,0
3,gradual_burnout,8,16.65,2.8,83.99,0.014,3.47,Low,0
3,gradual_burnout,9,16.02,7.51,83.2,-0.09,2.39,Low,0
3,gradual_burnout,10,11.76,7.84,91.97,-0.022,3.93,Medium,0
3,gradual_burnout,11,15.15,7.29,87.21,-0.138,1.95,Low,0
3,gradual_burnout,12,15.64,4.39,82.7,-0.052,4.83,Low,0
3,gradual_burnout,13,15.36,2.77,80.71,-0.07,4.78,Low,0
3,gradual_burnout,14,14.41,9.71,90.41,-0.372,4.47,Low,0
3,gradual_burnout,15,9.56,7.44,82.24,-0.244,4.52,Medium,0
3,gradual_burnout,16,15.25,10.47,82.0,-0.375,1.99,Low,0
4,consistent,1,23.65,1.07,89.91,0.634,4.85,Low,0
4,consistent,2,20.11,0.0,89.86,0.527,4.85,Low,0
4,consistent,3,23.45,0.23,92.43,0.404,4.88,Low,0
4,consistent,4,27.55,0.0,93.61,0.667,3.51,Low,0
4,consistent,5,24.74,4.41,92.94,0.4,2.11,Low,0
4,consistent,6,22.68,2.1,88.32,0.3,1.31,Low,0
4,consistent,7,23.68,1.93,98.02,0.424,3.74,Low,0
4,consistent,8,24.48,1.43,96.82,0.468,4.46,Low,0
4,consistent,9,25.36,0.0,90.98,0.617,4.88,Low,0
4,consistent,10,23.55,0.0,93.23,0.391,2.09,Low,0
4,consistent,11,23.01,0.0,92.53,0.543,2.8,Low,0
4,consistent,12,20.26,2.15,94.0,0.635,2.43,Low,0
4,consistent,13,23.66,3.14,90.14,0.493,3.08,Low,0
4,consistent,14,23.34,2.09,95.85,0.498,2.61,Low,0
4,consistent,15,24.29,0.0,96.5,0.55,1.55,Low,0
4,consistent,16,19.54,1.81,96.72,0.467,2.39,Low,0
5,gradual_burnout,1,20.97,2.93,88.34,0.278,4.92,Low,0
5,gradual_burnout,2,16.87,0.88,85.68,0.512,1.3,Low,0
5,gradual_burnout,3,18.8,4.98,87.41,0.416,2.9,Low,0
5,gradual_burnout,4,19.03,2.43,87.46,0.366,1.71,Low,0
5,gradual_burnout,5,20.74,3.73,78.58,0.417,4.2,Low,0
5,gradual_burnout,6,19.48,5.94,84.32,0.409,1.74,Low,0
5,gradual_burnout,7,18.43,6.55,77.2,0.209,4.58,Low,0
5,gradual_burnout,8,15.43,3.15,83.12,0.143,1.08,Low,0
5,gradual_burnout,9,18.96,7.53,85.72,0.365,2.99,Low,0
5,gradual_burnout,10,16.66,4.7,80.19,0.008,3.58,Low,0
5,gradual_burnout,11,15.95,7.2,80.24,0.066,1.64,Low,0
5,gradual_burnout,12,17.68,6.61,78.22,0.001,1.45,Low,0
5,gradual_burnout,13,14.76,10.04,73.33,-0.004,3.23,Low,0
5,gradual_burnout,14,13.28,5.94,74.03,0.137,1.46,Low,0
5,gradual_burnout,15,19.54,8.61,73.89,0.073,1.54,Low,0
5,gradual_burnout,16,18.29,9.16,67.66,-0.035,2.89,Medium,0
6,gradual_burnout,1,21.37,5.74,81.17,0.379,3.89,Low,0
6,gradual_burnout,2,21.06,5.44,83.69,0.446,1.75,Low,0
6,gradual_burnout,3,21.31,3.85,77.73,0.459,3.35,Low,0
6,gradual_burnout,4,19.0,5.51,87.32,0.428,3.5,Low,0
6,gradual_burnout,5,20.77,0.32,73.8,0.505,2.33,Low,0
6,gradual_burnout,6,22.01,6.7,79.51,0.391,4.11,Low,0
6,gradual_burnout,7,17.97,1.56,80.62,0.342,2.83,Low,0
6,gradual_burnout,8,20.29,6.36,76.84,0.22,3.26,Low,0
6,gradual_burnout,9,14.19,4.02,74.98,0.053,3.46,Low,0
6,gradual_burnout,10,16.55,8.56,83.1,0.264,2.5,Low,0
6,gradual_burnout,11,16.17,7.29,76.75,-0.012,2.33,Low,0
6,gradual_burnout,12,14.49,9.38,78.73,0.229,1.46,Low,0
6,gradual_burnout,13,16.82,9.23,71.26,0.042,4.65,Low,0
6,gradual_burnout,14,17.5,5.78,70.53,0.065,1.85,Low,0
6,gradual_burnout,15,13.72,8.1,71.46,-0.172,2.24,Low,0
6,gradual_burnout,16,18.13,13.57,70.61,-0.081,3.35,Low,0
7,consistent,1,22.49,0.89,85.58,0.427,4.45,Low,0
7,consistent,2,19.7,3.24,93.38,0.332,2.63,Low,0
7,consistent,3,21.87,3.02,95.61,0.352,1.08,Low,0
7,consistent,4,20.2,2.57,91.41,0.359,1.95,Low,0
7,consistent,5,19.52,3.0,90.67,0.509,4.32,Low,0
7,consistent,6,23.29,0.26,88.78,0.371,4.59,Low,0
7,consistent,7,20.65,3.42,88.05,0.446,4.27,Low,0
7,consistent,8,17.52,4.2,89.35,0.289,2.07,Low,0
7,consistent,9,17.44,0.0,97.06,0.634,2.18,Low,0
7,consistent,10,21.94,0.9,91.71,0.599,1.09,Low,0
7,consistent,11,20.62,0.0,86.67,0.539,1.56,Low,0
7,consistent,12,17.42,0.0,92.1,0.52,3.22,Low,0
7,consistent,13,22.06,2.09,93.22,0.563,3.4,Low,0
7,consistent,14,17.99,1.26,93.33,0.545,2.53,Low,0
7,consistent,15,18.75,2.61,91.88,0.392,1.33,Low,0
7,consistent,16,17.13,0.0,93.54,0.385,2.42,Low,0
8,sudden_disengagement,1,18.28,0.44,100.0,0.594,2.99,Low,0
8,sudden_disengagement,2,16.62,0.88,100.0,0.606,1.3,Low,0
8,sudden_disengagement,3,19.93,0.33,100.0,0.763,1.99,Low,0
8,sudden_disengagement,4,21.0,0.0,100.0,0.675,3.36,Low,0
8,sudden_disengagement,5,18.55,1.44,98.5,0.644,1.74,Low,0
8,sudden_disengagement,6,22.13,3.22,99.6,0.644,3.64,Low,0
8,sudden_disengagement,7,21.67,1.45,100.0,0.416,1.88,Low,0
8,sudden_disengagement,8,9.59,12.87,58.28,-0.292,4.88,Medium,0
8,sudden_disengagement,9,9.65,20.4,42.34,-0.387,1.92,High,1
8,sudden_disengagement,10,3.96,19.37,32.47,-0.281,4.16,High,1
8,sudden_disengagement,11,5.44,19.41,51.6,-0.085,2.92,Medium,1
